restaurant_name,online_order,book_table,rating,votes,location,cuisines,cost_per_person,restaurant_type
M Cafe - Bengaluru Marriott Hotel Whitefield,No,Yes,4.1,833,Whitefield,"North Indian, American, Italian",1250,Dine-out
Kritunga Restaurant,Yes,No,3.7,856,Whitefield,"Andhra, Biryani, North Indian, Chinese",325,Dine-out
Hyderabad Chefs,Yes,No,4,277,Whitefield,"Hyderabadi, Andhra, North Indian, Chinese, South Indian",400,Dine-out
Kapoor's Cafe,No,No,4.2,3021,Whitefield,North Indian,400,Dine-out
Biriyani Zone,Yes,No,4,1633,Whitefield,"Biryani, North Indian, Chinese, Seafood",400,Dine-out
The Irish House,No,Yes,4.3,1776,Whitefield,"European, American",850,Dine-out
Chili's American Grill & Bar,Yes,No,4.6,4957,Whitefield,"American, Tex-Mex, Burger, BBQ, Mexican",700,Dine-out
Nasi And Mee,Yes,Yes,4.4,908,Whitefield,"Malaysian, Thai, Singaporean, Asian, Chinese, Momos",500,Dine-out
Shizusan Shophouse & Bar,Yes,Yes,4.4,1313,Whitefield,"Asian, Japanese, Vietnamese, Korean, Chinese, Thai",900,Dine-out
Layla - The Den Bengaluru,No,No,3.9,51,Whitefield,Mediterranean,1000,Dine-out
Enchanted Garden,Yes,Yes,4.3,476,Whitefield,"North Indian, Continental, Italian, Cafe, Pizza, Finger Food",700,Dine-out
NH8,Yes,Yes,4.2,482,Whitefield,Rajasthani,400,Dine-out
Sorse,Yes,Yes,4.1,982,Whitefield,"Bengali, Seafood",375,Dine-out
Toscano - Mojito Bar,Yes,Yes,4.3,654,Whitefield,"Continental, Italian, Mediterranean, Salad",750,Dine-out
Uppercut - Sheraton Grand Bengaluru Whitefield Hotel...,No,Yes,4.3,400,Whitefield,BBQ,1000,Dine-out
Imperio Restaurant,Yes,Yes,4.4,2382,Whitefield,"North Indian, Arabian, Mughlai, Biryani, Seafood, Beverages",350,Dine-out
Galito's,Yes,Yes,4.6,595,Whitefield,"African, Burger, Desserts, Beverages, Fast Food",500,Dine-out
Beijing Bites,Yes,No,3.9,514,Whitefield,"Chinese, Thai",425,Dine-out
Kava Kitchen & Bar - Fairfield by Marriott,No,No,3.9,74,Whitefield,"North Indian, South Indian, Continental, American, Asian",600,Dine-out
Daily Sushi,Yes,No,3.8,63,Whitefield,"Korean, Sushi",450,Dine-out
Noodle Bar,Yes,Yes,4,1070,Whitefield,"Chinese, Momos",700,Dine-out
Suryawanshi,Yes,No,4.2,938,Whitefield,"Maharashtrian, Seafood",350,Dine-out
Paradise,Yes,Yes,4,1688,Whitefield,"Biryani, North Indian, Kebab",400,Dine-out
Harry's Bar + Cafe,Yes,Yes,4.1,1218,Whitefield,"Asian, American, Mexican",600,Dine-out
BAR BAR,No,Yes,4.1,1003,Whitefield,"Continental, North Indian, Italian",750,Dine-out
Mani's Dum Biryani,Yes,No,4,438,Whitefield,"Biryani, Andhra",375,Dine-out
The Eatery - Four Points by Sheraton Bengaluru,No,Yes,4,328,Whitefield,"Continental, North Indian",850,Dine-out
Karibu - The Zuri,No,Yes,3.9,268,Whitefield,"South Indian, Asian",1000,Dine-out
Green Hyderabad Biryani House,Yes,No,3.8,433,Whitefield,"Biryani, Hyderabadi, Andhra, North Indian",400,Dine-out
Andhra Kafe,Yes,No,3.8,247,Whitefield,"Andhra, South Indian, North Indian, Biryani",275,Dine-out
The Beer Cafe,Yes,Yes,4.1,673,Whitefield,"Finger Food, North Indian, Chinese, Italian",700,Dine-out
Latitude Whitefield,No,Yes,3.9,327,Whitefield,"North Indian, Continental, Asian, Italian",1000,Dine-out
Punjab Bistro,Yes,Yes,4.2,84,Whitefield,North Indian,750,Dine-out
Beyond Elements,Yes,Yes,4.1,869,Whitefield,"Cafe, Italian, Pizza, North Indian",450,Dine-out
Bangalore Mandarin,Yes,No,4.3,782,Whitefield,"Chinese, Seafood",550,Dine-out
Coastal Hub,Yes,Yes,4,364,Whitefield,"Kerala, Seafood, Chinese",350,Dine-out
InAzia - Sheraton Grand Bengaluru Whitefield Hotel &...,No,Yes,4.3,246,Whitefield,"Asian, Chinese",1250,Dine-out
Orzuv,Yes,Yes,3.7,837,Whitefield,"Kashmiri, Cafe",550,Dine-out
Rajdhani Thali Restaurant,Yes,Yes,3.9,902,Whitefield,"Rajasthani, Gujarati, North Indian",450,Dine-out
Mavalli Tiffin Room (MTR),No,No,3.7,560,Whitefield,South Indian,200,Dine-out
Salt Mango Tree,Yes,No,4.2,523,Whitefield,Kerala,500,Dine-out
King Of Spices,Yes,No,3.7,30,Whitefield,"South Indian, North Indian, Chinese, Biryani, Beverages",250,Dine-out
Alto Vino - Bengaluru Marriott Hotel Whitefield,No,Yes,4.3,267,Whitefield,"Italian, Salad",1500,Dine-out
Manbhavan Premium Thali Restaurant,Yes,No,4,485,Whitefield,"Hyderabadi, Gujarati, Maharashtrian",500,Dine-out
Andhra Biryanis,Yes,No,4,112,Whitefield,"Andhra, Biryani, North Indian",350,Dine-out
Petoo,Yes,No,4,143,Whitefield,"North Indian, Fast Food, Street Food",400,Dine-out
Pablo's Gastrobar,No,No,4,1094,Whitefield,"Finger Food, American, Asian, Italian",725,Dine-out
Kabab Mandra,No,No,2.7,165,Whitefield,"North Indian, Chinese",150,Dine-out
Cafe Palmyra,No,Yes,4.2,519,Whitefield,"Chinese, North Indian, Continental, Cafe",1000,Dine-out
Shanmukha,Yes,No,3.9,770,Whitefield,"Biryani, Andhra, North Indian, Chinese",400,Dine-out
The Square Table,Yes,Yes,4.2,584,Whitefield,"North Indian, Maharashtrian, South Indian",500,Dine-out
The Fat Chef,Yes,Yes,4.1,1755,Whitefield,"Japanese, Italian, American, Asian, North Indian, Steak",700,Dine-out
Brilram's Balaji Bhavan,No,No,3.9,141,Whitefield,"South Indian, North Indian, Chinese",350,Dine-out
Onesta,Yes,Yes,4.4,2110,Whitefield,"Pizza, Cafe, Italian",300,Dine-out
Orbis Restaurant,Yes,Yes,3.9,1140,Whitefield,"Arabian, North Indian, Chinese, Salad, Beverages",375,Dine-out
Oliver's Pub & Diner,Yes,Yes,3.9,548,Whitefield,"Finger Food, American, Continental, Burger, Pizza",750,Dine-out
Smaaash,No,Yes,4,189,Whitefield,"North Indian, Pizza, Chinese",750,Dine-out
Marigold Fine Dine Restaurant,No,Yes,4,292,Whitefield,"Continental, Asian",750,Dine-out
Barley & Grapes Cafe,No,No,4.2,843,Whitefield,"Cafe, Italian, Continental",500,Dine-out
Lot Like Crepes & Cafe,Yes,No,4,21,Whitefield,"Cafe, Continental, Desserts",300,Dine-out
Hyderabad Biryaani House,Yes,No,3.6,378,Whitefield,"Biryani, North Indian, Chinese",350,Dine-out
Tiffin Room - Miraya Hotel & Residences,No,Yes,3.7,138,Whitefield,"North Indian, South Indian, Asian",1000,Dine-out
Happy Singh,Yes,No,3.8,515,Whitefield,"Chinese, North Indian",450,Dine-out
Incanto - The Zuri,No,Yes,4,89,Whitefield,Italian,1250,Dine-out
Whats Ap,No,No,3.3,9,Whitefield,Andhra,400,Dine-out
Pindi Bangalore,Yes,No,3.700497969,0,Whitefield,"North Indian, Chinese, Biryani, Street Food",450,Dine-out
Rivayat,Yes,Yes,3.9,487,Whitefield,"North Indian, Mughlai",400,Dine-out
Hasee-E-Shan Makers Of Biryani,Yes,No,3.5,16,Whitefield,"Biryani, Mughlai, North Indian",250,Dine-out
Tandoor Box,Yes,No,3.9,168,Whitefield,"Mughlai, North Indian, Biryani",300,Dine-out
Boondock Bistro,Yes,Yes,3.9,1636,Whitefield,"Steak, Continental, American, Italian, Salad, Cafe",450,Dine-out
Bling - The Zuri,No,No,3.7,228,Whitefield,"Continental, North Indian",1050,Dine-out
Alpha - House of Biryani & Tandoor,Yes,No,3.5,395,Whitefield,"Biryani, North Indian, Chinese",400,Dine-out
Punjabi Kitchen,Yes,No,3.6,205,Whitefield,"Chinese, North Indian",200,Dine-out
Burgundy - Royal Orchid Suites,No,Yes,3.9,104,Whitefield,North Indian,600,Dine-out
Nandhini Deluxe,No,Yes,2.9,268,Whitefield,North Indian,300,Dine-out
Copper Chimney,Yes,Yes,4.1,93,Whitefield,"North Indian, Biryani",600,Dine-out
Flavours Radha Hometel,No,Yes,3.5,185,Whitefield,"North Indian, Continental, Chinese, South Indian",400,Dine-out
Oregano Soul Food,Yes,No,4.1,142,Whitefield,Cafe,350,Dine-out
Anushka Restaurant,Yes,No,3.4,7,Whitefield,"North Indian, Chinese",300,Dine-out
Chez Mariannick,No,No,4.1,395,Whitefield,"French, Pizza, Bakery",500,Dine-out
Cafe Noir,No,Yes,4.1,1140,Whitefield,"European, French, Salad",750,Dine-out
Punjab Beat,Yes,Yes,3.700497969,0,Whitefield,North Indian,350,Dine-out
Bhagini IRIS,No,No,3.7,115,Whitefield,"North Indian, Chinese",300,Dine-out
Biryani Paradise,Yes,No,3.8,136,Whitefield,"Andhra, Biryani",350,Dine-out
Sri Lakshmi Vaibhav,Yes,No,4,160,Whitefield,"South Indian, North Indian, Chinese",250,Dine-out
Spicy Onion,Yes,No,3.6,30,Whitefield,"North Indian, Chinese",200,Dine-out
Terracotta Whitefield,No,Yes,4,244,Whitefield,"North Indian, Lucknowi, Afghan",1500,Dine-out
Abhiruchi Andhra Mess,Yes,No,3.1,62,Whitefield,"Andhra, Biryani, South Indian",150,Dine-out
Sri Udupi Park,Yes,No,3.9,160,Whitefield,"South Indian, North Indian, Chinese, Beverages",150,Dine-out
Kalmane Koffees,No,No,3.9,104,Whitefield,Cafe,175,Dine-out
Nieghbourhood Cafe,No,No,3.7,39,Whitefield,"Pizza, Italian, Chinese, North Indian",375,Dine-out
Third Wave Coffee Roasters,No,No,3.8,25,Whitefield,"Cafe, Continental, Desserts",400,Dine-out
A2B - Adyar Ananda Bhavan,Yes,No,2.5,544,Whitefield,"South Indian, North Indian, Chinese, Street Food, Fast Food",200,Dine-out
Thalassery Restaurant,Yes,No,2.9,550,Whitefield,"Kerala, Biryani, South Indian, North Indian, Chinese, Arabian, Beverages",250,Dine-out
Quality Eat,Yes,No,3.700497969,0,Whitefield,South Indian,200,Dine-out
Meghana Grand,Yes,No,3.5,131,Whitefield,"Biryani, Andhra",400,Dine-out
Chinese Chaska,Yes,No,3.1,127,Whitefield,"Chinese, North Indian, Biryani",275,Dine-out
Treat,Yes,No,3.8,63,Whitefield,"North Indian, Mughlai",400,Dine-out
The Diner,Yes,No,3.6,197,Whitefield,"North Indian, Chinese, Andhra, Biryani",350,Dine-out
W XYZ - Aloft Hotel,No,Yes,3.7,95,Whitefield,Finger Food,850,Dine-out
Moriz Restaurant,Yes,No,2.9,225,Whitefield,"Arabian, North Indian, Biryani, Chinese, Seafood",375,Dine-out
HMS Hyderabad Bawarchi,Yes,No,3.700497969,0,Whitefield,"North Indian, Chinese, Biryani",250,Dine-out
Treat Restaurant,Yes,No,2.8,32,Whitefield,"South Indian, North Indian, Chinese, Kerala",200,Dine-out
Izakaya Gastro Pub,Yes,Yes,3.8,128,Whitefield,"North Indian, Continental, Mediterranean",600,Dine-out
Urban Grills Restaurant,No,No,3.5,45,Whitefield,"Arabian, North Indian, Biryani",350,Dine-out
Dilli Darbar,Yes,No,3.5,181,Whitefield,"North Indian, Chinese, Biryani",250,Dine-out
The Big Spoon,Yes,No,3.8,45,Whitefield,"North Indian, Mughlai",375,Dine-out
Oakleaf,Yes,No,3.9,41,Whitefield,"Asian, Continental, North Indian, Italian",1000,Dine-out
Starbucks,No,No,3.9,35,Whitefield,"Cafe, Desserts",350,Dine-out
The Lighthouse Cafe,No,No,3.6,21,Whitefield,"American, Italian",325,Dine-out
Vishal Hotel,No,No,3.700497969,0,Whitefield,South Indian,350,Dine-out
Flavors Restaurant,No,No,2.9,16,Whitefield,"North Indian, Chinese",350,Dine-out
Annapurna Bengali Restaurant,No,No,3.9,50,Whitefield,Bengali,175,Dine-out
SV Restaurant,Yes,No,3.1,8,Whitefield,"Andhra, North Indian, Chinese, Biryani",275,Dine-out
Zodiac,No,No,3.6,64,Whitefield,"Italian, Mexican, Mediterranean, North Indian, Continental",750,Dine-out
Hotel Triloka,Yes,No,3.3,7,Whitefield,North Indian,200,Dine-out
Drunken Monkey,Yes,No,3.3,8,Whitefield,"Beverages, Fast Food",250,Dine-out
Hyderabad Biryani,Yes,No,3.2,145,Whitefield,"North Indian, Chinese, Biryani",300,Dine-out
Red Glow,No,No,3.7,27,Whitefield,"North Indian, Continental",600,Dine-out
Miro Bar - Miraya Hotel & Residences,No,No,3.8,26,Whitefield,"North Indian, Chinese, Thai, Asian",1000,Dine-out
The Egg Factory,Yes,No,4,743,Whitefield,"Continental, American",375,Dine-out
M Bar - Bengaluru Marriott Hotel Whitefield,No,No,3.9,77,Whitefield,Finger Food,1000,Dine-out
Gali Parathae Wali,Yes,No,3.7,95,Whitefield,"North Indian, Chinese, Street Food, Sandwich",200,Dine-out
Whitefield Bar and Grill - Bengaluru Marriott Hotel...,No,Yes,4.1,78,Whitefield,"Continental, Burger, BBQ",1500,Dine-out
Sizzles,No,No,3.5,11,Whitefield,"North Indian, Chinese, Continental",400,Dine-out
Biryani House,No,No,3.6,14,Whitefield,"Biryani, North Indian",225,Dine-out
Cafe Coffee Day,Yes,No,3.6,45,Whitefield,Cafe,325,Dine-out
Hotel Greens,No,No,3.6,59,Whitefield,"Biryani, Chinese, North Indian, South Indian",400,Dine-out
The Punjabi Park,Yes,No,3.5,31,Whitefield,North Indian,250,Dine-out
Punjabi Park,Yes,No,2.9,25,Whitefield,"North Indian, Fast Food",200,Dine-out
Special Biryani House,Yes,No,3.2,202,Whitefield,"North Indian, Biryani, Chinese",200,Dine-out
Southern Spice,Yes,No,2.6,382,Whitefield,"North Indian, Chinese, Biryani, Andhra",400,Dine-out
Citrus Cafe - Lemon Tree Hotel,No,Yes,3.8,118,Whitefield,"North Indian, Continental, South Indian, Asian",950,Dine-out
Slounge - Lemon Tree Hotel,No,Yes,3.9,21,Whitefield,Finger Food,750,Dine-out
Food Point,No,No,3.2,167,Whitefield,North Indian,225,Dine-out
Checkered Bar - MGM Mark,No,No,3.6,19,Whitefield,"North Indian, Continental, Chinese",650,Dine-out
Afoozoo - Ginger Hotel,No,No,3.5,40,Whitefield,"North Indian, Chinese",400,Dine-out
Keys Cafe - Keys Hotel,No,No,2.8,161,Whitefield,"Chinese, Continental, North Indian",600,Dine-out
Punjabi Tadka,No,No,3.2,7,Whitefield,"North Indian, Chinese",200,Dine-out
Pizza Hut,Yes,No,4,208,Whitefield,"Pizza, Fast Food",375,Dine-out
Konaseema Grand,Yes,No,3.3,379,Whitefield,"North Indian, Mughlai, Andhra, Biryani",500,Dine-out
Smoke - The Sizzler House,No,No,3.6,171,Whitefield,"Continental, North Indian, Chinese, BBQ",400,Dine-out
Dot.yum - Aloft Hotel,No,Yes,3.9,276,Whitefield,"Italian, North Indian, Continental, BBQ",1000,Dine-out
Zeeshan Restaurant,No,No,3.700497969,0,Whitefield,"North Indian, Mughlai, Chinese",300,Dine-out
Chefactory Gold by Flechazo,Yes,No,3.7,355,Whitefield,"North Indian, Biryani",350,Dine-out
Southern Spice,No,Yes,3,83,Whitefield,South Indian,600,Dine-out
VIHAR Family Restaurant,No,No,4,69,Whitefield,"Chinese, North Indian, Mangalorean",300,Dine-out
HIGH SKY,No,No,3,32,Whitefield,"Continental, North Indian, Chinese, Arabian",500,Dine-out
FreshEats,No,No,3.6,14,East Bangalore,"Continental, North Indian, Thai",200,Dine-out
Mayuri Delux Restaurant,No,No,3.700497969,0,Whitefield,"Andhra, North Indian, Chinese",275,Dine-out
Dil Se Dilli,Yes,No,3.8,282,Whitefield,"North Indian, Mughlai",350,Dine-out
China On My Plate,No,No,3,17,Whitefield,Chinese,400,Dine-out
Mithai Time,Yes,No,3,56,Whitefield,"Mithai, North Indian, Street Food",100,Dine-out
Friendz Zone,No,No,3.6,39,Whitefield,"North Indian, Street Food",200,Dine-out
A Southern Fair,Yes,No,3,19,Whitefield,"Biryani, Seafood, South Indian",375,Dine-out
ASIA SEVEN,Yes,No,3.3,4,Whitefield,Chinese,150,Dine-out
The Difference,Yes,No,2.7,18,Whitefield,"North Indian, Chinese, Arabian",300,Dine-out
Infinity - The Zuri,No,Yes,3.8,67,Whitefield,"North Indian, Continental, Chinese",1350,Dine-out
The Farm House Bar n Grill,No,No,3.7,34,Whitefield,"North Indian, Continental",400,Dine-out
Sri Annapurna Mess,Yes,No,3.700497969,0,Whitefield,"Andhra, South Indian",200,Dine-out
Topsy Turvey,No,No,3.700497969,0,Whitefield,Finger Food,450,Dine-out
Annalakshmi,No,No,3.700497969,0,Whitefield,Chinese,200,Dine-out
V V Hotel,No,No,3.700497969,0,Whitefield,South Indian,250,Dine-out
Fashion Knack Cafe,No,No,3.7,18,Whitefield,"Cafe, Burger, Sandwich",125,Dine-out
KC Das - Sweet Sensation,No,No,2.9,31,Whitefield,"Mithai, Street Food",100,Dine-out
Kolkata Famous Kati Roll,No,No,3.5,7,Whitefield,"Fast Food, Rolls",75,Dine-out
Nellore Mess & Tiffens,No,No,3,17,Whitefield,"South Indian, Andhra",100,Dine-out
Rajgarh,No,No,3.700497969,0,Whitefield,"North Indian, South Indian",600,Dine-out
The Green Cube's Express,No,No,3.700497969,0,East Bangalore,Fast Food,175,Dine-out
Hot Attack Restaurant,No,No,3.700497969,0,Whitefield,"North Indian, Chinese, Biryani",250,Dine-out
Visantoe,Yes,No,3.2,8,Whitefield,Fast Food,200,Dine-out
Butterly Cafe,No,No,3.1,14,Whitefield,Cafe,275,Dine-out
Biryani Express,Yes,No,3.7,71,Whitefield,"Biryani, North Indian",300,Dine-out
Inhouse Burger,No,No,3.3,12,Whitefield,"Burger, Salad, Continental",200,Dine-out
Punjab Junction,Yes,No,3.2,31,Whitefield,North Indian,175,Dine-out
Parivar Eat House,Yes,No,3.700497969,0,Whitefield,"North Indian, Biryani",250,Dine-out
Friends Diner,No,No,2.8,36,Whitefield,"Continental, Italian, Pizza",350,Dine-out
Tease Whitefield,No,Yes,3.7,64,Whitefield,Finger Food,900,Dine-out
Hotel Sai Renaissance,Yes,Yes,3.6,32,Whitefield,"South Indian, North Indian, Chinese",225,Dine-out
Dilli Dil Se,Yes,No,3.6,20,Whitefield,North Indian,200,Dine-out
Soup N Grill,No,No,3.5,14,Whitefield,"Chinese, North Indian",300,Dine-out
Best Brews - Four Points by Sheraton Bengaluru...,No,No,3.6,27,Whitefield,Continental,750,Dine-out
Spice Boulevard,No,No,3.9,89,Whitefield,"Cafe, Continental, Chinese",350,Dine-out
The Waverly Express,No,No,3.5,12,Whitefield,Cafe,325,Dine-out
The Hungry Yeti,No,No,4,146,Whitefield,"Tibetan, Nepalese",350,Dine-out
New Kolkata Style Famous Roll,No,No,3.700497969,0,Whitefield,"North Indian, Rolls",100,Dine-out
Cane Hut,No,No,3.700497969,0,Whitefield,"Beverages, Juices, Street Food",50,Dine-out
Len Restaurant,No,No,3.700497969,0,Whitefield,"North Indian, Chinese",275,Dine-out
Amma Mess,No,No,3.700497969,0,Whitefield,Kerala,100,Dine-out
The Kimchi Chef,No,No,3.4,5,Whitefield,"Thai, Chinese",250,Dine-out
Tata Cha,Yes,No,3.700497969,0,Whitefield,"Cafe, Tea, North Indian",250,Dine-out
Masala Chai,Yes,No,4.1,196,Whitefield,"Beverages, Fast Food, Tea",125,Dine-out
Fusion Panda,Yes,No,3.5,11,Whitefield,"North Indian, Kebab",150,Dine-out
Biryani House,Yes,No,3.700497969,0,Whitefield,"Andhra, North Indian, Chinese",300,Dine-out
New Andhra Chimney,No,No,3.1,71,Whitefield,"Andhra, North Indian, Biryani",350,Dine-out
Chill,No,No,3.8,43,Whitefield,"North Indian, Chinese, Continental",400,Dine-out
Unlock - The Restobar - Keys Hotel,No,No,3.7,32,Whitefield,Finger Food,1000,Dine-out
Sri Guru Nalapaka Restaurant,No,No,3.5,20,Whitefield,"North Indian, South Indian, Chinese, Street Food",275,Dine-out
Sri Shankar Andhra Mess,No,No,3.3,4,Whitefield,South Indian,100,Dine-out
Oak Tavern,No,No,3.5,9,Whitefield,"Continental, North Indian",500,Dine-out
Punjabi Tadka,No,No,3.2,4,Whitefield,North Indian,250,Dine-out
Corprate Biriyani Adda,No,No,3,5,Whitefield,"North Indian, Chinese",250,Dine-out
Vinod Bar And Restaurant,No,No,3.700497969,0,Whitefield,Finger Food,300,Dine-out
Biryani Bowl,No,No,3.3,10,Whitefield,"Biryani, Andhra",275,Dine-out
Adupadi,No,No,2.9,25,Whitefield,"South Indian, Chettinad",225,Dine-out
Cafe of Joy,No,No,3.7,51,Whitefield,Continental,300,Dine-out
Teashot,No,No,2.9,24,Whitefield,Cafe,75,Dine-out
Elements - Mapple Express,No,No,2.9,51,Whitefield,"North Indian, Chinese, Fast Food",300,Dine-out
Majlish,No,No,3.6,79,Whitefield,"Bengali, North Indian, Chinese",400,Dine-out
Om Sai Punjabi Dhabha,Yes,No,3.4,10,Whitefield,North Indian,125,Dine-out
Aishwarya,No,No,3.3,6,Whitefield,"Chinese, North Indian",225,Dine-out
Chai Point,No,No,3.8,45,Whitefield,"Beverages, Fast Food",75,Dine-out
Waah Chef,No,No,3.700497969,0,Whitefield,"Biryani, Mughlai, Chinese, North Indian",300,Dine-out
Kabab Ghar,No,No,3.2,4,Whitefield,"Biryani, North Indian, Kebab",300,Dine-out
Swad E Punjab,No,No,3.4,7,Whitefield,North Indian,300,Dine-out
Shanghai Times,No,No,3.3,9,Whitefield,Chinese,200,Dine-out
Starnese,No,No,3.4,6,Whitefield,"North Indian, Chinese, South Indian",400,Dine-out
Whooppeezz,No,No,3.4,16,Whitefield,Pizza,250,Dine-out
LG Park Restaurant,No,No,3.4,7,Whitefield,"North Indian, South Indian",400,Dine-out
BBCUE Whitefield,No,No,3.5,8,Whitefield,Continental,1200,Dine-out
Blend - Royal Orchid Suites,No,No,3.4,16,Whitefield,"Chinese, North Indian",650,Dine-out
Chinese Street,Yes,No,3.1,134,Whitefield,Chinese,325,Dine-out
Hotel Manu Residency,Yes,No,3.8,201,Whitefield,"Andhra, North Indian, Chinese, Biryani",275,Dine-out
Fresh Berriz,No,No,3.3,7,Whitefield,"Beverages, Juices",125,Dine-out
Calicut Mess House,No,No,3.2,5,Whitefield,Kerala,125,Dine-out
Grab n Go - Aloft Hotel,No,No,3.1,7,Whitefield,"American, Fast Food",500,Dine-out
Red Roost,No,No,3.700497969,0,Whitefield,"North Indian, South Indian",250,Dine-out
Golden Paradise,No,No,3.5,14,Whitefield,"North Indian, Chinese",150,Dine-out
Sunrise Family Restaurant,No,No,3.700497969,0,Whitefield,"North Indian, South Indian, Chinese",250,Dine-out
Chashni Sweets,No,No,3.4,8,Whitefield,"Mithai, Street Food",100,Dine-out
Khana's Kitchen,No,No,3.700497969,0,Whitefield,"Chinese, North Indian, Hyderabadi, Biryani",300,Dine-out
Win's Restaurant,No,No,3.3,10,Whitefield,"South Indian, Chinese, Seafood",200,Dine-out
Dakshin Family Resturant,No,No,3.700497969,0,Whitefield,"South Indian, Hyderabadi, Chettinad",300,Dine-out
Trinity Club Lounge,No,No,3.5,20,Whitefield,Finger Food,750,Dine-out
Mega Bite,No,Yes,3.5,54,Whitefield,"North Indian, Chinese, South Indian, Continental",550,Dine-out
Bawarchi Restaurant,Yes,No,3.700497969,0,Whitefield,"Biryani, North Indian, Chinese, Rolls, Beverages",200,Dine-out
Vijayawada Heights,Yes,No,3,7,Whitefield,North Indian,300,Dine-out
Estia - Aloft Hotel,No,Yes,4.1,79,Whitefield,Mediterranean,800,Dine-out
The Coffee Bean & Tea Leaf,Yes,No,3,38,Whitefield,"Cafe, Coffee",350,Dine-out
The Kim Chi Chef,Yes,No,4,210,Whitefield,"Chinese, Thai, Momos",450,Dine-out
The Taste Players,Yes,No,3.7,51,Whitefield,"North Indian, Chinese, Mughlai, Biryani",250,Dine-out
Thalaserry Food Court,No,No,3.5,21,Whitefield,"Kerala, Biryani, Seafood, North Indian, Chinese",300,Dine-out
Imperia Restaurant,Yes,No,2.5,129,Whitefield,"North Indian, Chinese, Arabian, Biryani, Fast Food",250,Dine-out
Mooch Marod,No,No,4.5,504,Whitefield,North Indian,175,Dine-out
Biryani Kitchen,Yes,No,4.3,634,Whitefield,Biryani,225,Dine-out
Stoner,Yes,No,4.3,549,Whitefield,"Ice Cream, Cafe, Pizza, Burger, Desserts, Beverages",250,Dine-out
Dehati Murgee,Yes,No,4,155,Whitefield,"North Indian, Mughlai",300,Dine-out
Smoor,Yes,No,4.3,390,Whitefield,"Desserts, Cafe, Continental",350,Dine-out
Auntie Fung's,Yes,No,3.8,20,Whitefield,"Chinese, Vietnamese, Desserts",350,Dine-out
Burger King,Yes,No,4,1972,Whitefield,"Burger, Fast Food, Beverages",300,Dine-out
Mc Donald's,No,No,3.9,116,Whitefield,"Burger, Fast Food",250,Dine-out
Dilli Galli,Yes,No,3.6,43,Whitefield,North Indian,100,Dine-out
Jubli Biryani,Yes,No,3.6,17,Whitefield,"Biryani, Chinese",250,Dine-out
The Chocolate Heaven,Yes,No,3.1,186,Whitefield,"Desserts, Cafe",300,Dine-out
JLT Food,Yes,No,3.6,23,Whitefield,North Indian,225,Dine-out
Woodfire Biryani,Yes,No,3.4,47,Whitefield,"North Indian, South Indian, Biryani",125,Dine-out
Kidilum,Yes,No,3.8,210,Whitefield,"Kerala, Chinese, North Indian",175,Dine-out
WOW! Momo,No,No,3.9,346,Whitefield,"Tibetan, Momos",200,Dine-out
The Early bell,Yes,No,3.9,197,Whitefield,"North Indian, Chinese",150,Dine-out
Biting Junction,Yes,No,3.9,119,Whitefield,"Chinese, North Indian, Rajasthani, Gujarati, Fast Food, Afghan",175,Dine-out
Taco Bell,Yes,No,3.9,152,Whitefield,"Mexican, American, Fast Food",300,Dine-out
Pita Pit,Yes,No,4,33,Whitefield,"Healthy Food, Salad, Mexican, Beverages",250,Dine-out
New Punjabi Tasty Khana,Yes,No,3,176,Whitefield,"North Indian, Biryani, Chinese",200,Dine-out
Amaravati Food Court,Yes,No,3.3,7,Whitefield,Kerala,150,Dine-out
Chaat Junction,No,No,3.7,19,Whitefield,"Street Food, North Indian, Fast Food",100,Dine-out
Kshatriya's Kitchen,Yes,No,3.7,55,Whitefield,"Andhra, South Indian",150,Dine-out
Faasos,Yes,No,4,184,Whitefield,"North Indian, Biryani, Fast Food",250,Dine-out
Sri Sai Palace,Yes,Yes,3.8,88,Whitefield,"South Indian, North Indian, Chinese, Fast Food",150,Dine-out
New Paratha Corner,Yes,No,3.9,176,Whitefield,North Indian,175,Dine-out
Angaar Biriyani,Yes,No,3.7,92,Whitefield,"Biryani, Chinese, Fast Food",200,Dine-out
Zeee's,Yes,No,3.7,34,Whitefield,"Fast Food, North Indian, Street Food",150,Dine-out
Andal Mess,Yes,No,3.6,24,Whitefield,"South Indian, North Indian",150,Dine-out
KA53,Yes,No,3.9,45,Whitefield,"Biryani, North Indian, Chinese",150,Dine-out
Mangalore Lunch Home,Yes,No,3.5,11,Whitefield,"North Indian, South Indian, Mangalorean",150,Dine-out
Foodies Delight,Yes,No,3.8,184,Whitefield,"North Indian, Fast Food, Beverages",200,Dine-out
KFC,Yes,No,3.9,167,Whitefield,"Burger, Fast Food",225,Dine-out
New Udupi Delicacy,Yes,No,3.9,91,Whitefield,"South Indian, North Indian, Chinese",125,Dine-out
The Wok Shop,Yes,No,4.2,221,Whitefield,"Asian, Chinese, Momos, Fast Food, Indonesian, Korean",250,Dine-out
Delhi Walle,No,No,3.7,118,Whitefield,"North Indian, Street Food",150,Dine-out
Delhi Mahal,Yes,No,3.1,114,Whitefield,"North Indian, Mughlai, Chinese",200,Dine-out
Kolkata Biryani Center,Yes,No,3.8,40,Whitefield,Biryani,125,Dine-out
