restaurant_name,online_order,book_table,rating,votes,location,cuisines,cost_per_person,restaurant_type
Asha Sweets Centre,Yes,No,3.6,27,Basavanagudi,Fast Food,125,Delivery
Twiststick House,Yes,No,4.1,163,Basavanagudi,"Continental, Fast Food, Street Food, Momos",250,Delivery
Cool Corner,Yes,No,4.2,191,Basavanagudi,"Street Food, Fast Food",125,Delivery
Pizza Mane,Yes,No,3.5,32,Banashankari,"Pizza, Sandwich, Burger, Fast Food",75,Delivery
Dal Tadkaa,Yes,No,2.5,247,Banashankari,North Indian,250,Delivery
Chutney Chang,Yes,Yes,4.1,2339,Jayanagar,"North Indian, Chinese, BBQ",750,Delivery
Mystique Palate,Yes,No,4.1,337,Jayanagar,"Chinese, Fast Food",150,Delivery
Thamboola,Yes,No,3.9,135,Banashankari,"North Indian, Chinese, Continental",400,Delivery
Castle Rock,Yes,No,3.6,172,Uttarahalli,"North Indian, Chinese",350,Delivery
Vietnamese Kitchen,Yes,No,3.6,105,Banashankari,Vietnamese,350,Delivery
Smacznego,Yes,No,4.2,504,Banashankari,"Cafe, Mexican, Italian, Momos, Beverages",275,Delivery
C Corner,Yes,No,3.2,36,Kumaraswamy Layout,"Fast Food, Street Food",100,Delivery
Paratha Merchant,Yes,No,3.1,39,Kumaraswamy Layout,North Indian,150,Delivery
North Rasoe,Yes,No,3.1,5,Kumaraswamy Layout,"North Indian, Chinese, Biryani, Kebab",250,Delivery
Inchara Restaurant,Yes,No,3.700497969,0,Basavanagudi,"North Indian, Chinese",150,Delivery
Toscano,Yes,Yes,4.3,1129,Jayanagar,"Italian, Salad",650,Delivery
Lord Of The Kitchen,Yes,No,3.9,56,Kumaraswamy Layout,"North Indian, Chinese",175,Delivery
Stoned Monkey,Yes,No,4.3,860,Banashankari,"Desserts, Ice Cream",250,Delivery
Central Jail Restaurant,Yes,No,3.8,412,Jayanagar,"Andhra, Seafood, North Indian, Chinese",350,Delivery
